Settings,Process Length,Turnaround,Wait,Response,Response Adjusted,Throughput,Throughput INV,Throughput CPU,CPU Processing%
1_50_100_10_5,1777.1,14714,12937,11102,80.811,0.0016686,599.3,599.3,78.779
2_50_100_10_5,1777.1,7209.7,5432.6,4508.9,32.155,0.0031336,319.12,159.56,73.972
3_50_100_10_5,1777.1,4616.1,2839,2397.5,17.271,0.0043852,228.04,76.013,69.011
6_50_100_10_5,1777.1,2498.1,721,561.16,3.9449,0.0072569,137.8,22.967,57.102
10_50_100_10_5,1777.1,1916.6,139.48,163.1,1.0688,0.0079529,125.74,12.574,37.547
