Settings,Process Length,Turnaround,Wait,Response,Response Adjusted,Throughput,Throughput INV,Throughput CPU,CPU Processing%
4_50_201_7_3,1786,3297.4,1511.3,1317.1,8.2548,0.0057944,172.58,43.145,72.219
4_50_100_7_3,1786,3461.7,1675.6,1437.9,8.9639,0.0055445,180.36,45.09,69.103
4_50_50_7_3,1786,3806,2020,1763.2,11.22,0.005296,188.82,47.205,66.007
4_50_0_7_3,1786,9324.7,7538.7,7016.3,43.977,0.0023555,424.54,106.14,29.358
