Settings,Process Length,Turnaround,Wait,Response,Response Adjusted,Throughput,Throughput INV,Throughput CPU,CPU Processing%
1_50_201_7_3,1893.1,14574,12681,10386,70.184,0.0016162,618.72,618.72,86.669
2_50_201_7_3,1893.1,7102.2,5209.1,4170.1,27.111,0.0029382,340.34,170.17,78.78
3_50_201_7_3,1893.1,4834.6,2941.5,2404.9,15.609,0.004017,248.94,82.98,71.803
6_50_201_7_3,1893.1,2655,761.96,641.58,4.1663,0.0060299,165.84,27.64,53.891
10_50_201_7_3,1893.1,2007.2,114.16,157.74,0.95912,0.0082427,121.32,12.132,44.2
