Settings,Process Length,Turnaround,Wait,Response,Response Adjusted,Throughput,Throughput INV,Throughput CPU,CPU Processing%
1_50_50_7_3,1856.7,16345,14488,12000,77.979,0.0014764,677.34,677.34,76.656
2_50_50_7_3,1856.7,7886.6,6029.9,5256.8,33.998,0.0027246,367.02,183.51,70.735
3_50_50_7_3,1856.7,5335,3478.3,3033.8,19.603,0.0037244,268.5,89.5,64.459
6_50_50_7_3,1856.7,2919,1062.3,906.1,5.87,0.0059474,168.14,28.023,51.467
10_50_50_7_3,1856.7,2132.6,275.86,247.28,1.555,0.0079669,125.52,12.552,41.366
